abv,ibu,label
3.8,18.0,English Brown Ale
5.1,31.0,Belgian Pale Ale
5.3,20.0,American Pilsner
5.1,32.0,American Amber / Red Ale
4.3,18.0,American Blonde Ale
7.9,18.0,Fruit / Vegetable Beer
4.7,11.0,Kölsch
5.0,40.0,American Pale Ale (APA)
6.9,70.0,American IPA
7.0,32.0,American Brown Ale
6.0,30.0,American Amber / Red Ale
5.1,20.0,Fruit / Vegetable Beer
5.5,13.0,Hefeweizen
5.1,20.0,Fruit / Vegetable Beer
4.5,21.0,Belgian Pale Ale
5.0,18.0,American Pale Wheat Ale
9.0,30.0,Tripel
6.0,14.0,Fruit / Vegetable Beer
8.5,85.0,American Double / Imperial IPA
9.9,93.0,American Double / Imperial IPA
8.0,88.0,American IPA
6.0,25.0,American Blonde Ale
9.5,49.0,American Brown Ale
6.6,44.0,American Pale Ale (APA)
5.0,20.0,Saison / Farmhouse Ale
6.5,47.0,American Stout
5.0,35.0,American Amber / Red Ale
6.5,60.0,American IPA
6.5,60.0,American IPA
5.0,12.0,American Blonde Ale
5.1,20.0,American Brown Ale
6.0,24.0,American Amber / Red Ale
5.0,12.0,Witbier
6.8,68.0,American IPA
5.5,15.0,American Pale Wheat Ale
4.5,18.0,Munich Helles Lager
5.7,30.0,American Porter
6.2,65.0,American IPA
3.7,34.0,American Porter
3.7,21.0,Witbier
3.7,53.0,American Pale Ale (APA)
7.2,75.0,American IPA
7.2,75.0,American IPA
4.2,22.0,American Blonde Ale
5.2,27.0,American Porter
5.2,23.0,American Amber / Red Ale
5.4,42.0,American Pale Ale (APA)
5.3,11.0,Fruit / Vegetable Beer
5.3,30.0,American Brown Ale
7.1,62.0,American IPA
5.3,16.0,American Blonde Ale
6.3,61.0,American IPA
6.3,61.0,American IPA
4.8,12.0,Witbier
5.0,24.0,American Brown Ale
5.7,70.0,American IPA
8.0,100.0,American Double / Imperial IPA
7.5,85.0,American IPA
6.0,24.0,American Pale Wheat Ale
8.0,100.0,American Double / Imperial IPA
6.3,30.0,Cream Ale
5.8,28.0,Kölsch
4.3,8.0,Berliner Weissbier
8.7,80.0,American Double / Imperial IPA
5.1,24.0,American Amber / Red Ale
7.5,51.0,American IPA
6.5,20.0,Saison / Farmhouse Ale
4.8,18.0,Vienna Lager
5.1,24.0,American Amber / Red Ale
6.8,66.0,American IPA
4.8,44.0,American Pale Ale (APA)
9.2,75.0,American Double / Imperial IPA
7.5,85.0,American IPA
6.8,75.0,American IPA
5.2,50.0,American Pale Ale (APA)
6.7,75.0,American Amber / Red Ale
5.5,30.0,Saison / Farmhouse Ale
4.7,46.0,American Pale Wheat Ale
5.8,40.0,American Stout
6.5,115.0,American Amber / Red Ale
5.6,28.0,American Blonde Ale
6.0,49.0,Extra Special / Strong Bitter (ESB)
5.6,18.0,Munich Helles Lager
4.9,24.0,Märzen / Oktoberfest
4.7,14.0,American Pale Wheat Ale
4.6,24.0,Schwarzbier
5.0,35.0,German Pilsener
5.2,21.0,Cream Ale
5.2,21.0,American Blonde Ale
7.0,70.0,American IPA
5.3,10.0,American Blonde Ale
5.3,14.0,American Pale Wheat Ale
3.7,10.0,Light Lager
5.2,30.0,American Pilsner
5.3,30.0,Milk / Sweet Stout
8.6,35.0,German Pilsener
4.2,24.0,American Pale Wheat Ale
5.0,22.0,Cream Ale
4.2,24.0,American Pale Wheat Ale
7.0,22.0,American Porter
6.5,32.0,Bock
5.5,15.0,Märzen / Oktoberfest
8.5,86.0,American Double / Imperial IPA
8.5,86.0,American Double / Imperial IPA
6.1,11.0,Pumpkin Ale
6.5,65.0,American IPA
4.8,10.0,Hefeweizen
4.8,15.0,English Brown Ale
5.7,29.0,American Pale Ale (APA)
4.5,40.0,American IPA
6.5,70.0,American IPA
5.0,29.0,American Pale Lager
5.6,21.0,Euro Dark Lager
5.2,18.0,American Amber / Red Ale
5.0,29.0,American Pale Lager
5.2,18.0,American Amber / Red Ale
5.0,29.0,American Pale Lager
6.5,70.0,American IPA
5.2,18.0,American Amber / Red Ale
6.5,70.0,American IPA
5.2,18.0,American Amber / Red Ale
3.4,6.0,Berliner Weissbier
8.8,85.0,American Double / Imperial IPA
8.8,85.0,American Double / Imperial IPA
5.6,20.0,Hefeweizen
5.6,30.0,American Blonde Ale
5.2,50.0,American Amber / Red Ale
4.2,35.0,Cream Ale
5.1,31.0,American Pale Ale (APA)
7.2,80.0,American IPA
4.5,50.0,American IPA
4.9,26.0,Milk / Sweet Stout
4.8,19.0,English Brown Ale
6.0,38.0,Pumpkin Ale
6.0,25.0,American Porter
5.6,47.0,Extra Special / Strong Bitter (ESB)
6.3,42.0,American Pale Ale (APA)
6.1,66.0,American IPA
5.1,7.0,Fruit / Vegetable Beer
6.7,70.0,American IPA
5.4,24.0,American Amber / Red Ale
5.8,27.0,American Stout
6.7,70.0,American IPA
8.2,25.0,Baltic Porter
4.9,27.0,English Bitter
4.8,35.0,Keller Bier / Zwickel Bier
4.8,35.0,American Pale Ale (APA)
8.7,29.0,Scotch Ale / Wee Heavy
5.4,36.0,American Porter
9.5,19.0,Scottish Ale
6.5,26.0,American Brown Ale
6.0,29.0,Saison / Farmhouse Ale
5.0,45.0,American Pale Ale (APA)
5.7,26.0,American Stout
5.0,23.0,Rye Beer
6.5,65.0,American Brown Ale
4.6,20.0,Pumpkin Ale
4.9,35.0,American IPA
6.5,65.0,American Pale Ale (APA)
6.5,65.0,American Pale Ale (APA)
5.3,35.0,Czech Pilsener
6.5,65.0,American Pale Ale (APA)
6.5,65.0,American Pale Ale (APA)
6.5,65.0,American Pale Ale (APA)
8.7,85.0,American Double / Imperial IPA
6.5,65.0,American Pale Ale (APA)
6.5,65.0,American Pale Ale (APA)
8.7,85.0,American Double / Imperial IPA
8.0,70.0,American Strong Ale
9.0,60.0,American Double / Imperial IPA
8.7,85.0,American Double / Imperial IPA
9.9,98.0,Russian Imperial Stout
5.3,35.0,Czech Pilsener
9.9,100.0,American Double / Imperial IPA
8.0,35.0,Scottish Ale
8.7,85.0,American Double / Imperial IPA
6.5,65.0,American Pale Ale (APA)
9.2,85.0,American Double / Imperial IPA
9.5,98.0,Russian Imperial Stout
9.9,98.0,Russian Imperial Stout
8.0,35.0,Scottish Ale
8.0,35.0,Scottish Ale
8.0,35.0,Scottish Ale
6.5,65.0,American Pale Ale (APA)
6.5,65.0,American Pale Ale (APA)
6.5,65.0,American Pale Ale (APA)
6.5,65.0,American Pale Ale (APA)
6.5,65.0,American Pale Ale (APA)
8.7,60.0,American Double / Imperial IPA
8.7,85.0,American Double / Imperial IPA
9.9,98.0,Russian Imperial Stout
8.0,85.0,American Double / Imperial IPA
8.0,35.0,Scottish Ale
6.5,65.0,American Pale Ale (APA)
6.5,65.0,American Pale Ale (APA)
5.5,45.0,American White IPA
5.5,55.0,American Pale Ale (APA)
4.0,39.0,American Pale Ale (APA)
5.2,23.0,Irish Red Ale
5.3,48.0,American Pale Ale (APA)
4.5,22.0,Kölsch
4.4,28.0,English Bitter
5.0,24.0,American Porter
4.2,35.0,American Pale Ale (APA)
6.2,65.0,American IPA
4.8,35.0,American Pale Ale (APA)
5.5,25.0,American Brown Ale
5.0,61.0,American Pale Wheat Ale
4.0,12.0,Light Lager
5.0,17.0,American Pilsner
6.5,77.0,American IPA
6.2,62.0,American IPA
5.5,10.0,American Brown Ale
4.8,15.0,American Blonde Ale
6.5,65.0,American IPA
5.0,40.0,American Pale Ale (APA)
5.0,35.0,American IPA
4.1,12.0,American Pale Lager
5.9,25.0,American Amber / Red Ale
6.7,74.0,American IPA
6.1,60.0,American IPA
7.0,75.0,American IPA
6.0,24.0,Fruit / Vegetable Beer
4.5,18.0,American Blonde Ale
5.5,25.0,American Porter
4.5,18.0,American Dark Wheat Ale
5.5,20.0,American Amber / Red Ale
7.0,70.0,American IPA
6.9,51.0,American IPA
5.7,31.0,American Pale Ale (APA)
5.4,45.0,American Pale Ale (APA)
5.9,14.0,American Pale Wheat Ale
6.9,17.0,Munich Helles Lager
6.0,15.0,Munich Dunkel Lager
5.8,21.0,Czech Pilsener
5.7,68.0,American Pale Ale (APA)
5.8,21.0,Czech Pilsener
5.9,14.0,American Pale Wheat Ale
5.2,18.0,Hefeweizen
5.2,18.0,Hefeweizen
4.5,35.0,Belgian Pale Ale
5.5,30.0,American Porter
5.8,60.0,American Pale Ale (APA)
4.4,5.0,Gose
4.6,25.0,Witbier
9.9,85.0,American Black Ale
5.1,21.0,American Blonde Ale
5.3,52.0,German Pilsener
6.0,50.0,American Blonde Ale
5.1,21.0,American Blonde Ale
7.2,55.0,American Brown Ale
6.2,55.0,American IPA
5.1,17.0,American Blonde Ale
5.5,45.0,American IPA
4.7,25.0,American Porter
5.8,18.0,Rye Beer
6.5,44.0,American IPA
6.5,44.0,American IPA
5.8,27.0,American Amber / Red Ale
5.0,16.0,Witbier
5.0,40.0,American Pale Ale (APA)
9.0,60.0,Russian Imperial Stout
7.0,100.0,American IPA
9.9,100.0,American Double / Imperial IPA
5.0,25.0,American Blonde Ale
7.0,100.0,American IPA
5.5,40.0,American Pale Ale (APA)
5.8,15.0,Herbed / Spiced Beer
6.1,31.0,Herbed / Spiced Beer
5.7,25.0,Märzen / Oktoberfest
6.8,28.0,American Porter
6.5,70.0,American IPA
5.0,14.0,Witbier
5.7,42.0,American Amber / Red Ale
5.5,42.0,American Pale Ale (APA)
6.0,60.0,American Amber / Red Ale
5.8,35.0,American Porter
5.2,21.0,Märzen / Oktoberfest
4.3,45.0,American Pale Ale (APA)
7.2,75.0,American IPA
4.8,25.0,American Blonde Ale
5.0,55.0,American IPA
5.5,60.0,American Pale Ale (APA)
5.0,100.0,American IPA
7.6,78.0,American Strong Ale
7.0,80.0,American IPA
7.1,36.0,Saison / Farmhouse Ale
5.6,40.0,English Brown Ale
4.5,28.0,Kölsch
5.6,35.0,American Amber / Red Ale
7.3,55.0,American Black Ale
4.8,42.0,American Amber / Red Lager
7.3,55.0,American Black Ale
5.6,35.0,American Amber / Red Ale
5.0,15.0,Witbier
6.8,66.0,American IPA
5.2,40.0,American Pale Ale (APA)
4.8,22.0,Kölsch
6.9,20.0,American Porter
9.5,25.0,Winter Warmer
9.1,99.0,American Double / Imperial IPA
5.0,15.0,American Blonde Ale
5.5,20.0,American Amber / Red Ale
5.0,15.0,Hefeweizen
7.0,85.0,American IPA
6.9,20.0,American Porter
5.5,45.0,American Pale Ale (APA)
5.0,20.0,Fruit / Vegetable Beer
5.5,45.0,American Pale Ale (APA)
7.0,85.0,American IPA
5.0,15.0,Hefeweizen
5.5,45.0,American Pale Ale (APA)
5.5,20.0,American Amber / Red Ale
5.8,20.0,Saison / Farmhouse Ale
6.8,65.0,American Black Ale
8.9,88.0,American Double / Imperial IPA
5.5,30.0,Saison / Farmhouse Ale
7.1,95.0,American Black Ale
5.0,11.0,American Blonde Ale
5.0,45.0,American Pale Wheat Ale
4.5,30.0,American IPA
5.0,30.0,American Brown Ale
4.1,16.0,Hefeweizen
4.5,17.0,Munich Helles Lager
7.4,60.0,American IPA
7.0,105.0,American IPA
7.0,55.0,American Porter
7.7,40.0,American Strong Ale
5.3,20.0,English Brown Ale
7.7,40.0,American Amber / Red Ale
6.0,53.0,American Pale Ale (APA)
7.0,68.0,American IPA
6.9,65.0,American IPA
7.2,65.0,American IPA
5.6,37.0,American Pale Ale (APA)
4.8,26.0,American Pale Wheat Ale
5.0,28.0,Czech Pilsener
7.2,65.0,American IPA
5.6,37.0,American Pale Ale (APA)
10.0,52.0,Baltic Porter
4.2,16.0,Gose
3.2,7.0,Fruit / Vegetable Beer
6.5,62.0,American IPA
4.7,50.0,American Pale Ale (APA)
9.9,111.0,American Double / Imperial IPA
7.0,70.0,American Strong Ale
6.7,74.0,American IPA
5.4,42.0,German Pilsener
5.2,34.0,Cream Ale
6.3,57.0,Rye Beer
6.4,62.0,American IPA
9.9,85.0,Baltic Porter
5.9,47.0,American Brown Ale
5.2,11.0,American Pale Wheat Ale
4.9,35.0,Saison / Farmhouse Ale
9.1,103.0,American Double / Imperial IPA
6.3,69.0,American Stout
6.0,48.0,Pumpkin Ale
5.4,42.0,German Pilsener
5.2,34.0,Cream Ale
6.3,57.0,Rye Beer
6.4,62.0,American IPA
6.8,65.0,American IPA
5.8,15.0,American Stout
4.2,18.0,American Pale Lager
5.7,58.0,Extra Special / Strong Bitter (ESB)
6.8,65.0,American IPA
5.8,39.0,American Amber / Red Ale
7.1,92.0,American IPA
6.0,70.0,American IPA
5.5,16.0,Winter Warmer
5.6,25.0,Saison / Farmhouse Ale
4.9,18.0,Munich Helles Lager
5.5,16.0,Winter Warmer
8.4,90.0,American Double / Imperial IPA
5.8,25.0,Märzen / Oktoberfest
7.0,113.0,American IPA
5.3,21.0,Munich Dunkel Lager
5.6,11.0,Hefeweizen
4.9,44.0,German Pilsener
5.1,40.0,American Pale Ale (APA)
7.0,88.0,American IPA
5.8,35.0,American Amber / Red Ale
6.2,33.0,Saison / Farmhouse Ale
6.0,55.0,American Pale Ale (APA)
5.4,36.0,Foreign / Export Stout
5.0,22.0,English Brown Ale
5.0,18.0,Vienna Lager
5.2,32.0,American Pale Ale (APA)
6.8,60.0,American IPA
6.3,100.0,American IPA
6.3,100.0,American IPA
5.2,32.0,American Pale Ale (APA)
4.6,12.0,American Pale Wheat Ale
8.4,90.0,American Strong Ale
6.3,100.0,American IPA
7.0,18.0,Bock
5.5,40.0,American IPA
5.0,22.0,Kölsch
4.8,32.0,Czech Pilsener
5.5,65.0,American IPA
7.5,72.0,American IPA
7.7,65.0,American IPA
5.3,45.0,Extra Special / Strong Bitter (ESB)
5.8,60.0,American Pale Ale (APA)
5.0,20.0,American Blonde Ale
8.0,80.0,American Amber / Red Ale
5.8,40.0,Oatmeal Stout
5.0,20.0,American Blonde Ale
5.8,60.0,American Pale Ale (APA)
6.5,45.0,American Pale Ale (APA)
8.5,110.0,American Double / Imperial IPA
9.2,100.0,American Double / Imperial IPA
8.5,110.0,American Double / Imperial IPA
7.2,40.0,Winter Warmer
5.0,20.0,American Blonde Ale
9.9,100.0,American Double / Imperial IPA
8.3,50.0,Foreign / Export Stout
6.5,45.0,American Pale Ale (APA)
5.0,20.0,American Blonde Ale
4.7,35.0,American IPA
5.0,22.0,Vienna Lager
5.0,22.0,Vienna Lager
4.2,20.0,German Pilsener
6.5,52.0,American IPA
4.8,12.0,Märzen / Oktoberfest
6.5,52.0,American IPA
6.5,65.0,American Pale Ale (APA)
4.9,17.0,Kölsch
5.7,25.0,American Amber / Red Lager
6.5,65.0,American IPA
4.7,9.0,American Adjunct Lager
4.7,9.0,American Adjunct Lager
5.4,33.0,American Pale Ale (APA)
4.7,9.0,American Adjunct Lager
5.2,9.0,American Black Ale
6.3,64.0,American IPA
4.7,9.0,American Adjunct Lager
4.7,9.0,American Adjunct Lager
4.7,9.0,American Adjunct Lager
5.7,15.0,Märzen / Oktoberfest
5.2,7.0,American Pale Wheat Ale
5.0,7.0,American Pale Wheat Ale
5.0,7.0,American Pale Wheat Ale
4.9,13.0,Kölsch
5.7,15.0,Märzen / Oktoberfest
5.4,32.0,American Brown Ale
5.0,7.0,American Pale Wheat Ale
5.4,33.0,American Pale Ale (APA)
4.7,14.0,American Amber / Red Lager
4.7,9.0,American Adjunct Lager
5.1,31.0,American Amber / Red Ale
5.1,25.0,Kölsch
5.0,30.0,Milk / Sweet Stout
7.2,70.0,American IPA
4.1,8.0,American Adjunct Lager
4.1,8.0,American Amber / Red Lager
3.2,13.0,Light Lager
5.3,49.0,American Pale Ale (APA)
5.3,40.0,Extra Special / Strong Bitter (ESB)
4.7,55.0,American Pale Ale (APA)
8.3,100.0,American Double / Imperial IPA
5.2,29.0,Altbier
5.4,23.0,American Porter
5.8,20.0,Belgian Pale Ale
8.3,23.0,Scotch Ale / Wee Heavy
9.9,36.0,Belgian Dark Ale
9.0,30.0,Scotch Ale / Wee Heavy
5.3,23.0,Scotch Ale / Wee Heavy
6.4,75.0,American IPA
6.3,75.0,American IPA
6.4,75.0,American IPA
6.4,75.0,American IPA
9.0,30.0,Scotch Ale / Wee Heavy
6.5,55.0,Extra Special / Strong Bitter (ESB)
7.5,77.0,American IPA
5.6,50.0,American Pale Ale (APA)
9.9,75.0,Russian Imperial Stout
7.1,27.0,Irish Dry Stout
5.4,23.0,Scottish Ale
5.5,23.0,Märzen / Oktoberfest
5.2,24.0,Dortmunder / Export Lager
5.2,24.0,Dortmunder / Export Lager
9.1,91.0,American Double / Imperial IPA
9.0,30.0,Scotch Ale / Wee Heavy
7.5,77.0,American IPA
5.5,23.0,Märzen / Oktoberfest
5.4,23.0,Scottish Ale
5.3,20.0,Cream Ale
5.6,50.0,American Pale Ale (APA)
9.9,85.0,American Black Ale
7.3,69.0,American IPA
7.5,90.0,American IPA
4.0,37.0,English Bitter
5.5,34.0,Rye Beer
5.1,45.0,American Brown Ale
5.1,45.0,American Brown Ale
9.7,120.0,American Double / Imperial IPA
5.1,20.0,Keller Bier / Zwickel Bier
6.7,33.0,Saison / Farmhouse Ale
6.2,99.0,American IPA
7.3,50.0,American IPA
5.0,10.0,Witbier
5.6,35.0,American Pale Ale (APA)
5.0,38.0,Oatmeal Stout
5.9,18.0,Cream Ale
5.5,35.0,German Pilsener
8.0,95.0,American Double / Imperial IPA
5.0,44.0,American IPA
5.0,44.0,American IPA
4.9,28.0,Hefeweizen
5.0,19.0,American Blonde Ale
5.0,19.0,American Blonde Ale
4.9,28.0,Hefeweizen
8.5,34.0,Tripel
4.8,20.0,Saison / Farmhouse Ale
6.2,35.0,American Porter
5.6,20.0,Saison / Farmhouse Ale
5.0,20.0,Oatmeal Stout
6.8,110.0,American IPA
4.4,12.0,American Brown Ale
7.2,93.0,Extra Special / Strong Bitter (ESB)
5.0,20.0,Milk / Sweet Stout
5.0,20.0,American Pale Wheat Ale
5.0,20.0,American Pale Wheat Ale
5.0,16.0,German Pilsener
7.2,93.0,American Double / Imperial IPA
4.4,22.0,American Brown Ale
5.0,20.0,Milk / Sweet Stout
6.3,60.0,American IPA
7.0,80.0,American IPA
6.5,35.0,American Porter
4.7,42.0,American Pale Ale (APA)
5.5,35.0,Saison / Farmhouse Ale
6.3,23.0,American Brown Ale
5.6,12.0,Hefeweizen
7.1,69.0,English India Pale Ale (IPA)
8.0,120.0,American Double / Imperial IPA
8.0,120.0,American Double / Imperial IPA
4.6,20.0,American Amber / Red Ale
7.0,75.0,American IPA
4.8,16.0,English Brown Ale
5.9,15.0,American Pale Wheat Ale
5.2,16.0,American Pale Ale (APA)
5.7,46.0,American Black Ale
6.3,50.0,American Pale Ale (APA)
5.2,35.0,American Pale Ale (APA)
6.9,34.0,English Brown Ale
9.9,101.0,American Double / Imperial IPA
4.6,45.0,American IPA
4.8,18.0,American Pale Wheat Ale
5.1,11.0,Fruit / Vegetable Beer
4.0,18.0,American Blonde Ale
6.2,40.0,American Porter
6.2,82.0,American IPA
5.3,22.0,Irish Red Ale
6.0,50.0,American IPA
5.5,64.0,American Pale Wheat Ale
5.5,31.0,Oatmeal Stout
5.4,37.0,American Pale Ale (APA)
5.3,27.0,American Amber / Red Lager
5.8,20.0,American Porter
5.2,12.0,Fruit / Vegetable Beer
12.0,90.0,Russian Imperial Stout
8.5,115.0,American Double / Imperial IPA
5.8,36.0,American IPA
5.1,22.0,Irish Red Ale
5.2,50.0,American Porter
4.5,35.0,Czech Pilsener
7.0,60.0,American IPA
7.0,35.0,American Porter
5.0,21.0,Fruit / Vegetable Beer
4.5,18.0,American Blonde Ale
5.5,37.0,American Pale Ale (APA)
4.5,28.0,American Amber / Red Ale
7.3,87.0,American IPA
5.5,33.0,Vienna Lager
6.2,72.0,American IPA
6.0,30.0,American Amber / Red Ale
7.5,93.0,American Amber / Red Ale
4.5,45.0,American Pilsner
7.5,85.0,American IPA
5.5,52.0,American Pale Ale (APA)
6.2,65.0,American IPA
5.4,26.0,American Amber / Red Lager
7.5,63.0,American IPA
5.1,19.0,American Adjunct Lager
4.1,41.0,American IPA
4.8,48.0,American IPA
5.2,27.0,American Amber / Red Ale
6.2,70.0,American IPA
6.2,70.0,American IPA
5.7,36.0,American Pale Ale (APA)
5.4,20.0,American Brown Ale
5.2,27.0,American Amber / Red Ale
6.2,70.0,American IPA
4.8,48.0,American IPA
6.3,69.0,American IPA
5.8,43.0,American Dark Wheat Ale
5.8,43.0,American Dark Wheat Ale
5.1,17.0,Dortmunder / Export Lager
5.1,36.0,American Pale Ale (APA)
7.7,23.0,Märzen / Oktoberfest
7.0,68.0,American Strong Ale
5.0,10.0,Pumpkin Ale
4.0,22.0,American Amber / Red Lager
4.0,42.0,American IPA
7.3,83.0,American IPA
4.0,17.0,American Blonde Ale
4.0,32.0,Schwarzbier
7.3,82.0,American IPA
4.0,34.0,American Pale Ale (APA)
4.0,29.0,American Pale Ale (APA)
6.0,75.0,American IPA
4.7,25.0,Bock
8.5,90.0,American Double / Imperial IPA
4.2,10.0,Gose
4.5,50.0,American IPA
4.5,15.0,Witbier
9.9,51.0,American Double / Imperial Stout
6.5,33.0,American White IPA
9.9,90.0,American Double / Imperial IPA
7.5,30.0,Belgian Pale Ale
4.8,15.0,Vienna Lager
4.8,22.0,Vienna Lager
5.3,22.0,American Brown Ale
6.5,70.0,American IPA
9.0,75.0,American Double / Imperial IPA
9.0,75.0,American Double / Imperial IPA
9.2,25.0,Tripel
7.9,23.0,Witbier
7.5,31.0,American Brown Ale
9.2,25.0,Tripel
7.3,85.0,American IPA
7.5,85.0,American IPA
4.0,37.0,American IPA
6.0,55.0,American IPA
5.6,50.0,American IPA
8.5,85.0,American Double / Imperial IPA
5.1,17.0,English Pale Ale
4.0,37.0,American IPA
5.2,20.0,Pumpkin Ale
4.5,10.0,Fruit / Vegetable Beer
6.0,55.0,American IPA
5.2,67.0,American IPA
5.4,20.0,Cream Ale
4.0,5.0,Gose
5.0,16.0,Witbier
6.8,65.0,American IPA
5.7,22.0,Märzen / Oktoberfest
5.8,55.0,American IPA
7.5,89.0,American IPA
4.9,30.0,Hefeweizen
4.9,30.0,Hefeweizen
8.2,100.0,American Double / Imperial IPA
5.2,27.0,American Blonde Ale
8.2,100.0,American Double / Imperial IPA
8.2,100.0,American Double / Imperial IPA
4.2,13.0,Witbier
6.0,23.0,Oatmeal Stout
5.6,41.0,American Pale Ale (APA)
6.8,21.0,Belgian Pale Ale
5.7,20.0,Scotch Ale / Wee Heavy
4.5,25.0,American Pilsner
5.1,45.0,American Pale Ale (APA)
7.4,83.0,American IPA
8.0,31.0,American Porter
7.1,60.0,American IPA
4.8,38.0,American IPA
6.2,61.0,American IPA
4.5,23.0,American Pilsner
5.8,72.0,American IPA
5.9,135.0,American IPA
4.7,15.0,American Pale Lager
6.5,82.0,American IPA
2.8,15.0,American Pilsner
6.5,69.0,American IPA
6.9,69.0,American IPA
4.5,25.0,Kölsch
7.7,30.0,American Double / Imperial IPA
6.9,69.0,American IPA
6.0,50.0,American Pale Ale (APA)
6.7,45.0,Belgian IPA
5.5,40.0,American Pale Ale (APA)